id,sentence_en,sentence_ja
6,Patient is intubated and sedated.,患者は挿管され、鎮静されています。
7,The neurology team recommends initiating dual antiplatelet therapy with aspirin and clopidogrel for 21 days following this minor ischemic stroke event.,脳神経内科チームは、この軽症の脳梗塞イベントの後、アスピリンとクロピドグレルによる抗血小板薬2剤併用療法（DAPT）を21日間開始することを推奨しています。
8,"The coagulation profile is consistent with DIC, so we should treat the underlying sepsis while supporting with FFP and cryoprecipitate.",凝固プロファイルはDICと一致しているため、FFPとクリオプレシピテートでサポートしながら基礎にある敗血症を治療すべきです。
9,Post-op wound looks clean today.,今日、術後の傷口は綺麗に見えます。
10,Have you had a bowel movement?,お通じはありましたか？
11,Any new symptoms to report?,何か新しい症状はありますか？
12,Activate the cath lab immediately.,ただちにカテ室（心カテ室）を稼働させてください。
13,Surgical consultation is needed for this case of acute appendicitis confirmed on CT scan.,CTスキャンで確認されたこの急性虫垂炎の症例には、外科のコンサルトが必要です。
14,Vasopressin has been added as a second vasopressor given ongoing hemodynamic instability.,血行動態の不安定性が続いているため、第2の昇圧剤としてバソプレシンが追加されました。
15,"The patient's liver function tests show an obstructive pattern with elevated direct bilirubin and alkaline phosphatase, which warrants urgent MRCP or ERCP evaluation.",患者の肝機能検査は、直接ビリルビンとALPの上昇を伴う閉塞性パターンを示しており、至急のMRCPまたはERCPによる評価が必要です。
16,Pulse ox is reading ninety-four.,パルスオキシメーターは94を示しています。
17,A1C is significantly elevated today.,今日、HbA1cが著明に上昇しています。
18,"The patient has a history of hypothyroidism and is presenting with fatigue, weight gain, constipation, and cold intolerance worsening over three months.",患者には甲状腺機能低下症の既往があり、3ヶ月間で悪化する疲労感、体重増加、便秘、寒冷不耐性を呈しています。
19,Weight gain is inadequate here.,体重増加が不十分ですね。
20,Can you rate your pain?,痛みの程度を教えてもらえますか？
21,"On a scale of one to ten, how bad is the pain?",1から10の段階で、痛みはどれくらいひどいですか？
22,The patient has a long history of COPD with multiple prior exacerbations and was recently started on a new inhaled corticosteroid regimen.,患者にはCOPDの長い既往歴と複数の増悪歴があり、最近新しい吸入ステロイド薬の治療が開始されました。
23,Patient had a witnessed seizure.,患者は目撃された痙攣発作を起こしました。
24,The patient was admitted two days ago with fever and is now showing signs of clinical improvement.,患者は2日前に発熱で入院し、現在は臨床的な改善の兆候を示しています。
25,"The patient's blood glucose has been persistently elevated despite increasing insulin doses, which may suggest insulin resistance or a concurrent infection.",インスリンの用量を増やしているにもかかわらず血糖値が持続的に上昇しており、インスリン抵抗性または併発感染症を示唆している可能性があります。
26,Start heparin drip now.,今すぐヘパリンの点滴を開始してください。
